acct_no,equip_status,count_of_latecharge,core_programming,all_star,payment_method,line_of_business,commitment,core_international,tenure,credit_score,trds_mop_equal_2_or_gt_num,tot_amt_now_past_due_amt,bill1,bill2,bill3,bill4,bill5,curr_bal,dish_restart_flag,no_of_receivers,total_devices,total_equip_charge_amt
8255030010040816,RESTARTED,10,AT 200,5_Star,Standard Billing,Video Only,0, NA,3473,665,                 .98,               35.68,101.31,101.31,209.62,101.31,75.6,76.35,NULL,3.0,2,400.0
8255030010028423,RESTARTED,5,AT 250,1_Star,Standard Billing,Video Only,0, NA,5570,0,                 .74,               37.09,246.36,230.34,102.83,316.42,316.42,209.66,NULL,6.0,1,100.0
8255030010045328,RESTARTED,6,AT 120+,1_Star,Standard Billing,Video Only,0, NA,4430,0,                 .58,               25.38,104.67,104.67,104.67,104.67,104.67,144.72,NULL,2.0,2,200.0
8255030010054361,RESTARTED,4,UNKNOWN,3_Star,Standard Billing,Video Only,0, NA,4730,545,                 .78,               65.33,186.54,235.66,142.39,228.54,263.27,172.95,NULL,7.0,1,300.0
8255030010047522,RESTARTED,1,AT 200,4_Star,Standard Billing,Video Only,0, NA,3324,645,                1.30,              257.56,123.98,123.98,123.98,129.52,113.98,293.82,NULL,2.0,2,200.0
8255030010057356,RESTARTED,5,AT 120,4_Star,Standard Billing,Video Only,0, NA,3108,715,                 .57,               23.23,220.44,220.44,220.44,215.44,210.44,319.12,NULL,2.0,3,570.0
8255030010060285,RESTARTED,2,AT 200,4_Star,Standard Billing,Video Only,0, NA,3145,625,                 .42,               11.49,291.2,291.2,284.2,138.6,133.6,183.72,NULL,2.0,1,200.0
8255030010063289,RESTARTED,7,AT 120+,4_Star,Standard Billing,Video Only,0, NA,3234,585,                 .69,              228.13,-23.54,-128.81,234.08,219.54,229.64,200.96,NULL,2.0,2,200.0
8255030010065706,RESTARTED,5,AT 200,1_Star,Standard Billing,Video Only,0, NA,2146,645,                1.12,              166.94,0.0,0.0,0.0,0.0,0.0,-23.61,NULL,2.0,2,600.0
8255030010065755,RESTARTED,3,AT 120,1_Star,Standard Billing,Video Only,0, NA,3371,555,                 .89,               44.86,88.82,88.82,88.82,88.82,88.82,139.32,NULL,1.0,1,100.0
8255030010071738,RESTARTED,9,AT 120+,1_Star,Standard Billing,Video Only,0, NA,2632,585,                1.33,              167.67,448.7,448.7,448.7,448.7,448.7,222.02,NULL,2.0,8,1600.0
8255030010066621,RESTARTED,6,UNKNOWN,1_Star,Standard Billing,Video Only,1, NA,3976,635,                1.03,               69.36,104.78,97.78,112.07,120.78,120.78,154.32,NULL,3.0,1,100.0
8255030010071761,RESTARTED,3,AT 250,1_Star,Standard Billing,Video Only,0, NA,2258,555,                 .76,              341.39,356.63,356.63,356.63,356.63,356.63,349.98,NULL,2.0,2,200.0
8255030010074153,RESTARTED,6,OTHER PROGRAMMING,1_Star,Standard Billing,Video Only,1, NA,4131,545,                 .61,                3.08,184.1,184.1,184.1,184.1,184.1,309.88,NULL,2.0,3,300.0
8255030010074849,RESTARTED,4,AT 200,1_Star,Standard Billing,Video Only,0, NA,2434,635,                 .58,                 .00,871.75,871.75,871.75,871.75,871.75,276.03,NULL,4.0,4,700.0
8255030010079426,RESTARTED,1,AT 120+,1_Star,Standard Billing,Video Only,0, NA,3110,715,                1.03,              262.13,202.96,97.98,202.96,97.98,178.88,158.9,NULL,2.0,2,400.0
8255030010079558,RESTARTED,1,Smart Pack,4_Star,Standard Billing,Video Only,0, NA,3454,595,                 .52,              450.36,149.38,158.83,159.52,149.38,154.28,171.32,NULL,2.0,1,100.0
8255030010080358,RESTARTED,7,AT 200,1_Star,Standard Billing,Video Only,0, NA,2260,555,                1.11,               78.96,157.73,157.73,157.73,157.73,157.73,226.14,NULL,2.0,5,500.0
8255030010081406,RESTARTED,6,AT 200,5_Star,Standard Billing,Video Only,0, NA,4265,0,                 .69,               18.63,227.38,227.38,227.38,222.38,217.38,249.26,NULL,5.0,2,200.0
8255030010082438,RESTARTED,3,Welcome Pack,1_Star,Standard Billing,Video Only,0, NA,2937,595,                1.88,              173.75,64.98,64.98,64.98,64.98,64.98,109.16,NULL,2.0,1,100.0
8255030010084756,RESTARTED,5,AT 250,1_Star,Standard Billing,Video Only,0, NA,2910,595,                1.44,               33.75,152.82,152.82,152.82,152.82,152.82,98.92,NULL,2.0,2,200.0
8255030010086249,RESTARTED,7,AT 250,1_Star,Standard Billing,Video Only,1, NA,2370,665,                1.03,               11.76,692.8,692.8,692.8,692.8,692.8,242.62,NULL,3.0,2,600.0
8255030010087916,RESTARTED,2,AT 200,1_Star,Standard Billing,Video Only,0, NA,6807,0,                1.36,               27.25,177.18,193.0,236.24,236.24,231.24,215.8,NULL,4.0,2,600.0
8255030010093914,RESTARTED,2,AT 250,5_Star,Standard Billing,Video Only,0, NA,4309,0,                 .75,               31.00,253.36,123.18,253.36,123.18,250.36,22.39,NULL,2.0,4,1000.0
8255030010100206,RESTARTED,2,AT 200,3_Star,Standard Billing,Video Only,0, NA,4270,575,                 .44,                4.74,50.92,50.92,50.92,110.49,170.06,300.07,NULL,3.0,1,300.0
8255030010102988,RESTARTED,3,AT 120,1_Star,Standard Billing,Video Only,1, NA,2315,655,                 .63,               73.92,214.5,103.75,221.5,216.5,204.5,207.54,NULL,2.0,2,500.0
8255030010100594,RESTARTED,1,Welcome Pack,2_Star,Standard Billing,Video Only,0, NA,3058,695,                 .57,              395.68,58.79,5.35,28.4,23.05,10.7,52.76,NULL,1.0,1,300.0
8255030010103846,RESTARTED,3,Welcome Pack,1_Star,Standard Billing,Video Only,0, NA,1715,595,                 .69,               68.50,333.39,333.39,333.39,333.39,333.39,98.08,NULL,1.0,1,300.0
8255030010104117,RESTARTED,2,AT 200,1_Star,Standard Billing,Video Only,0, NA,2540,665,                 .88,               10.72,610.67,610.67,610.67,610.67,610.67,224.54,NULL,3.0,2,500.0
8255030010104208,RESTARTED,2,AT 200,5_Star,Standard Billing,Wildblue with Video ,0, NA,4010,545,                1.71,              111.50,181.1,181.1,181.1,181.1,364.2,309.95,NULL,1.0,3,670.0
8255030010104372,RESTARTED,7,AT 200,1_Star,Standard Billing,Video Only,0, NA,3536,555,                 .95,               41.98,206.2,206.2,215.74,210.74,196.2,182.9,NULL,4.0,5,500.0
8255030010104695,RESTARTED,3,Americas Everything Pack,5_Star,Standard Billing,Video Only,0, NA,4700,0,                1.16,               54.08,341.31,363.96,363.96,358.96,353.96,330.9,NULL,1.0,2,400.0
8255030010105734,RESTARTED,5,AT 250,1_Star,Standard Billing,Video Only,0, NA,2864,575,                 .85,               44.84,269.9,260.18,260.18,269.9,255.18,240.4,NULL,2.0,4,1000.0
8255030010106336,RESTARTED,3,Welcome Pack,1_Star,Standard Billing,Video Only,0, NA,2812,695,                1.23,               84.19,137.04,22.22,9.98,4.74,29.72,NULL,NULL,1.0,3,900.0
8255030010106773,RESTARTED,2,Smart Pack,1_Star,Standard Billing,Video Only,1, NA,1566,595,                1.20,              128.90,0.0,0.0,0.0,0.0,0.0,94.12,NULL,1.0,1,200.0
8255030010108092,RESTARTED,7,OTHER PROGRAMMING,1_Star,Standard Billing,Video Only,0, NA,2376,605,                 .48,                2.38,328.95,328.95,328.95,328.95,328.95,224.92,NULL,1.0,5,1000.0
8255030010112490,RESTARTED,7,UNKNOWN,1_Star,Standard Billing,Video Only,0, NA,3093,575,                1.02,              175.16,239.67,232.67,568.22,450.48,473.29,245.8,NULL,2.0,2,500.0
